year,title,vol,pages,words,word_source,pdf_present,xml_present,scraped_at
1999,24,4,827,495945,xml,True,True,2026-05-12
1999,24,5,377,198070,xml,True,True,2026-05-12
1999,25,1,995,582651,xml,True,True,2026-05-12
1999,26,1,582,379321,xml,True,True,2026-05-12
1999,26,2,1069,724183,xml,True,True,2026-05-12
1999,26,3,699,467085,xml,True,True,2026-05-12
1999,26,4,527,354903,xml,True,True,2026-05-12
1999,26,5,897,599603,xml,True,True,2026-05-12
1999,26,6,642,429155,xml,True,True,2026-05-12
1999,27,1,1116,686941,xml,True,True,2026-05-12
1999,27,2,346,196990,xml,True,True,2026-05-12
1999,28,1,823,461557,xml,True,True,2026-05-12
1999,28,2,666,383866,xml,True,True,2026-05-12
1999,29,1,589,351254,xml,True,True,2026-05-12
1999,29,2,270,144663,xml,True,True,2026-05-12
1999,29,3,894,559320,xml,True,True,2026-05-12
1999,29,4,450,264209,xml,True,True,2026-05-12
1999,29,5,970,564655,xml,True,True,2026-05-12
1999,29,6,588,322021,xml,True,True,2026-05-12
1999,29,7,371,198069,xml,True,True,2026-05-12
1999,29,8,649,348422,xml,True,True,2026-05-12
1999,29,9,910,552892,xml,True,True,2026-05-12
1999,30,1,728,384556,xml,True,True,2026-05-12
1999,30,2,637,364860,xml,True,True,2026-05-12
1999,30,3,732,429711,xml,True,True,2026-05-12
1999,31,1,430,253022,xml,True,True,2026-05-12
1999,31,2,994,582489,xml,True,True,2026-05-12
1999,32,1,974,537244,xml,True,True,2026-05-12
1999,32,2,1148,694081,xml,True,True,2026-05-12
1999,32,3,654,374333,xml,True,True,2026-05-12
1999,32,4,470,265100,xml,True,True,2026-05-12
1999,32,5,574,335463,xml,True,True,2026-05-12
1999,32,6,567,306802,xml,True,True,2026-05-12
1999,33,1,652,363926,xml,True,True,2026-05-12
1999,33,2,867,446196,xml,True,True,2026-05-12
1999,33,3,676,405468,xml,True,True,2026-05-12
1999,34,1,591,327614,xml,True,True,2026-05-12
1999,34,2,530,257175,xml,True,True,2026-05-12
1999,34,3,974,542497,xml,True,True,2026-05-12
1999,35,1,308,141112,xml,True,True,2026-05-12
1999,36,1,435,249653,xml,True,True,2026-05-12
1999,36,2,476,280343,xml,True,True,2026-05-12
1999,36,3,796,382778,xml,True,True,2026-05-12
1999,37,1,614,344477,xml,True,True,2026-05-12
1999,38,1,772,454722,xml,True,True,2026-05-12
1999,38,2,859,508659,xml,True,True,2026-05-12
1999,39,1,514,288415,xml,True,True,2026-05-12
1999,40,1,687,400002,xml,True,True,2026-05-12
1999,40,2,531,288534,xml,True,True,2026-05-12
1999,40,3,679,376702,xml,True,True,2026-05-12
1999,40,4,774,412493,xml,True,True,2026-05-12
1999,40,5,396,214800,xml,True,True,2026-05-12
1999,40,6,1246,659925,xml,True,True,2026-05-12
1999,40,7,403,215591,xml,True,True,2026-05-12
1999,40,8,1218,715527,xml,True,True,2026-05-12
1999,40,9,742,411848,xml,True,True,2026-05-12
1999,40,10,224,118292,xml,True,True,2026-05-12
1999,40,11,871,492658,xml,True,True,2026-05-12
1999,40,12,684,297786,xml,True,True,2026-05-12
1999,40,13,1247,675820,xml,True,True,2026-05-12
1999,40,14,1111,627532,xml,True,True,2026-05-12
1999,40,15,841,466075,xml,True,True,2026-05-12
1999,40,16,726,356438,xml,True,True,2026-05-12
1999,40,17,477,262692,xml,True,True,2026-05-12
1999,40,18,647,385516,xml,True,True,2026-05-12
1999,40,19,682,298168,xml,True,True,2026-05-12
1999,40,20,557,279506,xml,True,True,2026-05-12
1999,40,21,711,328238,xml,True,True,2026-05-12
1999,40,22,922,426699,xml,True,True,2026-05-12
1999,40,23,878,524051,pdf,True,False,2026-05-12
1999,40,24,471,264748,xml,True,True,2026-05-12
1999,41,1,289,152686,xml,True,True,2026-05-12
1999,41,2,808,400310,xml,True,True,2026-05-12
1999,41,3,320,154520,xml,True,True,2026-05-12
1999,41,4,299,137746,xml,True,True,2026-05-12
1999,42,1,743,432355,xml,True,True,2026-05-12
1999,42,2,937,542824,xml,True,True,2026-05-12
1999,42,3,1134,502701,xml,True,True,2026-05-12
1999,43,1,971,385219,xml,True,True,2026-05-12
1999,43,2,1005,591382,xml,True,True,2026-05-12
1999,44,1,603,355648,xml,True,True,2026-05-12
1999,45,1,687,416034,xml,True,True,2026-05-12
1999,45,2,336,185612,xml,True,True,2026-05-12
1999,45,3,643,361920,xml,True,True,2026-05-12
1999,45,4,829,466481,xml,True,True,2026-05-12
1999,46,1,571,290096,xml,True,True,2026-05-12
1999,46,2,476,244159,xml,True,True,2026-05-12
1999,46,3,177,73723,xml,True,True,2026-05-12
1999,46,4,561,279695,xml,True,True,2026-05-12
1999,46,5,317,146543,xml,True,True,2026-05-12
1999,46,6,430,228142,xml,True,True,2026-05-12
1999,46,7,575,282176,xml,True,True,2026-05-12
1999,46,8,477,276324,xml,True,True,2026-05-12
1999,46,9,311,170322,xml,True,True,2026-05-12
1999,47,1,807,434183,xml,True,True,2026-05-12
1999,47,2,560,313883,xml,True,True,2026-05-12
1999,47,3,538,261776,xml,True,True,2026-05-12
1999,47,4,807,437710,xml,True,True,2026-05-12
1999,47,5,840,453761,xml,True,True,2026-05-12
1999,48,1,1157,601671,xml,True,True,2026-05-12
1999,48,2,637,313672,xml,True,True,2026-05-12
1999,48,3,757,408585,xml,True,True,2026-05-12
1999,48,4,567,277137,xml,True,True,2026-05-12
1999,48,5,719,393042,xml,True,True,2026-05-12
1999,48,6,740,359069,xml,True,True,2026-05-12
1999,48,7,533,221441,xml,True,True,2026-05-12
1999,49,1,700,359990,xml,True,True,2026-05-12
1999,49,2,1118,599064,xml,True,True,2026-05-12
1999,49,3,257,134080,xml,True,True,2026-05-12
1999,49,4,1101,629821,xml,True,True,2026-05-12
1999,49,5,1182,558205,xml,True,True,2026-05-12
1999,49,6,349,183529,xml,True,True,2026-05-12
1999,49,7,286,139876,xml,True,True,2026-05-12
1999,50,1,915,513543,xml,True,True,2026-05-12
1999,50,2,454,220652,xml,True,True,2026-05-12
1999,50,3,778,450025,xml,True,True,2026-05-12
2000,1,1,114,41166,xml,True,True,2026-05-12
2000,3,1,411,146213,pdf,True,False,2026-05-12
2000,4,1,165,80757,xml,True,True,2026-05-12
2000,5,1,816,453794,xml,True,True,2026-05-12
2000,5,2,596,353935,xml,True,True,2026-05-12
2000,5,3,923,465961,xml,True,True,2026-05-12
2000,7,1,532,309362,xml,True,True,2026-05-12
2000,7,2,661,331030,xml,True,True,2026-05-12
2000,7,3,412,217994,xml,True,True,2026-05-12
2000,7,4,1035,643941,xml,True,True,2026-05-12
2000,7,5,539,303222,xml,True,True,2026-05-12
2000,7,6,789,535987,xml,True,True,2026-05-12
2000,7,7,701,418145,xml,True,True,2026-05-12
2000,7,8,871,515972,xml,True,True,2026-05-12
2000,7,9,344,159538,xml,True,True,2026-05-12
2000,7,10,816,471295,xml,True,True,2026-05-12
2000,7,11,1181,649758,xml,True,True,2026-05-12
2000,7,12,388,238780,xml,True,True,2026-05-12
2000,7,13,711,448658,xml,True,True,2026-05-12
2000,7,14,729,461412,xml,True,True,2026-05-12
2000,7,15,603,319287,xml,True,True,2026-05-12
2000,8,1,790,491937,xml,True,True,2026-05-12
2000,9,1,893,543121,xml,True,True,2026-05-12
2000,9,2,831,480412,xml,True,True,2026-05-12
2000,10,1,894,519863,xml,True,True,2026-05-12
2000,10,2,728,441759,xml,True,True,2026-05-12
2000,10,3,727,322987,xml,True,True,2026-05-12
2000,10,4,922,529267,xml,True,True,2026-05-12
2000,11,1,428,216700,xml,True,True,2026-05-12
2000,12,1,347,200740,xml,True,True,2026-05-12
2000,12,2,423,253756,xml,True,True,2026-05-12
2000,12,3,848,547109,xml,True,True,2026-05-12
2000,12,4,550,323877,xml,True,True,2026-05-12
2000,12,5,514,303023,xml,True,True,2026-05-12
2000,12,6,1016,590749,xml,True,True,2026-05-12
2000,13,1,658,370787,xml,True,True,2026-05-12
2000,14,1,1099,601224,xml,True,True,2026-05-12
2000,14,2,893,514571,xml,True,True,2026-05-12
2000,14,3,356,194152,xml,True,True,2026-05-12
2000,14,4,548,304443,xml,True,True,2026-05-12
2000,14,5,501,280358,xml,True,True,2026-05-12
2000,15,1,532,300929,xml,True,True,2026-05-12
2000,15,2,851,505914,xml,True,True,2026-05-12
2000,15,3,511,272762,xml,True,True,2026-05-12
2000,16,1,649,349420,xml,True,True,2026-05-12
2000,16,2,809,432533,xml,True,True,2026-05-12
2000,17,1,617,380249,xml,True,True,2026-05-12
2000,17,2,720,452856,xml,True,True,2026-05-12
2000,17,3,937,595832,xml,True,True,2026-05-12
2000,18,1,1040,600536,xml,True,True,2026-05-12
2000,18,2,293,153248,xml,True,True,2026-05-12
2000,19,1,773,437611,xml,True,True,2026-05-12
2000,19,2,779,429599,xml,True,True,2026-05-12
2000,19,3,370,209207,xml,True,True,2026-05-12
2000,20,1,639,376695,xml,True,True,2026-05-12
2000,20,2,1093,702936,xml,True,True,2026-05-12
2000,20,3,1095,656094,xml,True,True,2026-05-12
2000,21,1,504,285386,xml,True,True,2026-05-12
2000,21,2,590,356150,xml,True,True,2026-05-12
2000,21,3,636,359334,xml,True,True,2026-05-12
2000,21,4,226,118355,xml,True,True,2026-05-12
2000,21,5,369,205269,xml,True,True,2026-05-12
2000,21,6,603,340456,xml,True,True,2026-05-12
2000,21,7,197,100441,xml,True,True,2026-05-12
2000,21,8,731,405139,xml,True,True,2026-05-12
2000,21,9,270,145259,xml,True,True,2026-05-12
2000,22,1,1027,598573,xml,True,True,2026-05-12
2000,22,2,582,311501,xml,True,True,2026-05-12
2000,23,1,553,302564,xml,True,True,2026-05-12
2000,24,1,763,442732,xml,True,True,2026-05-12
2000,24,2,672,380971,xml,True,True,2026-05-12
2000,24,3,377,211192,xml,True,True,2026-05-12
2000,24,4,876,531123,xml,True,True,2026-05-12
2000,24,5,377,198085,xml,True,True,2026-05-12
2000,25,1,1006,589991,xml,True,True,2026-05-12
2000,26,1,586,383432,xml,True,True,2026-05-12
2000,26,2,1078,731288,xml,True,True,2026-05-12
2000,26,3,731,490399,xml,True,True,2026-05-12
2000,26,4,546,368641,xml,True,True,2026-05-12
2000,26,5,902,603686,xml,True,True,2026-05-12
2000,26,6,687,460654,xml,True,True,2026-05-12
2000,26,7,608,406206,xml,True,True,2026-05-12
2000,26,8,785,534775,xml,True,True,2026-05-12
2000,26,9,825,569721,xml,True,True,2026-05-12
2000,26,10,791,523013,xml,True,True,2026-05-12
2000,26,11,852,605524,xml,True,True,2026-05-12
2000,26,12,1259,865349,xml,True,True,2026-05-12
2000,26,13,802,561968,xml,True,True,2026-05-12
2000,26,14,592,387666,xml,True,True,2026-05-12
2000,26,15,346,212482,xml,True,True,2026-05-12
2000,26,16,449,290051,xml,True,True,2026-05-12
2000,26,17,806,538225,xml,True,True,2026-05-12
2000,26,18,214,122562,xml,True,True,2026-05-12
2000,26,19,211,111671,xml,True,True,2026-05-12
2000,27,1,1119,688950,xml,True,True,2026-05-12
2000,27,2,354,200217,xml,True,True,2026-05-12
2000,28,1,825,463268,xml,True,True,2026-05-12
2000,28,2,673,388657,xml,True,True,2026-05-12
2000,29,1,629,375508,xml,True,True,2026-05-12
2000,29,2,270,144696,xml,True,True,2026-05-12
2000,29,3,894,560093,xml,True,True,2026-05-12
2000,29,4,453,266587,xml,True,True,2026-05-12
2000,29,5,970,564655,xml,True,True,2026-05-12
2000,29,6,588,322021,xml,True,True,2026-05-12
2000,29,7,377,200260,xml,True,True,2026-05-12
2000,29,8,649,348422,xml,True,True,2026-05-12
2000,29,9,958,573114,xml,True,True,2026-05-12
2000,30,1,729,383247,xml,True,True,2026-05-12
2000,30,2,649,372265,xml,True,True,2026-05-12
2000,30,3,749,441268,xml,True,True,2026-05-12
2000,31,1,429,251328,xml,True,True,2026-05-12
2000,31,2,1011,595068,xml,True,True,2026-05-12
2000,32,1,973,538842,xml,True,True,2026-05-12
2000,32,2,1198,726714,xml,True,True,2026-05-12
2000,32,3,654,373900,xml,True,True,2026-05-12
2000,32,4,472,265650,xml,True,True,2026-05-12
2000,32,5,599,350166,xml,True,True,2026-05-12
2000,32,6,627,342145,xml,True,True,2026-05-12
2000,33,1,655,363295,xml,True,True,2026-05-12
2000,33,2,861,447592,xml,True,True,2026-05-12
2000,33,3,682,407956,xml,True,True,2026-05-12
2000,34,1,598,330612,xml,True,True,2026-05-12
2000,34,2,536,260377,xml,True,True,2026-05-12
2000,34,3,1043,583105,xml,True,True,2026-05-12
2000,35,1,203,67743,xml,True,True,2026-05-12
2000,36,1,468,267959,xml,True,True,2026-05-12
2000,36,2,469,275576,xml,True,True,2026-05-12
2000,36,3,813,383806,xml,True,True,2026-05-12
2000,37,1,626,352938,xml,True,True,2026-05-12
2000,38,1,779,459464,xml,True,True,2026-05-12
2000,38,2,898,523078,xml,True,True,2026-05-12
2000,39,1,521,291813,xml,True,True,2026-05-12
2000,40,1,694,403882,xml,True,True,2026-05-12
2000,40,2,528,287000,xml,True,True,2026-05-12
2000,40,3,692,383411,xml,True,True,2026-05-12
2000,40,4,845,442564,xml,True,True,2026-05-12
2000,40,5,391,214097,xml,True,True,2026-05-12
2000,40,6,1260,668602,xml,True,True,2026-05-12
2000,40,7,430,228859,xml,True,True,2026-05-12
2000,40,8,1266,746727,xml,True,True,2026-05-12
2000,40,9,939,532554,xml,True,True,2026-05-12
2000,40,10,224,119184,xml,True,True,2026-05-12
2000,40,11,914,519719,xml,True,True,2026-05-12
