year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2001,26,2,1103,751811,736004,xml,True,True,2026-06-23
2001,26,3,737,496232,481271,xml,True,True,2026-06-23
2001,26,4,567,386479,370739,xml,True,True,2026-06-23
2001,26,5,904,606332,590615,xml,True,True,2026-06-23
2001,26,6,683,458426,442954,xml,True,True,2026-06-23
2001,26,7,606,406042,392126,xml,True,True,2026-06-23
2001,26,8,793,541627,526346,xml,True,True,2026-06-23
2001,26,9,828,572739,557010,xml,True,True,2026-06-23
2001,26,10,791,523824,509485,xml,True,True,2026-06-23
2001,26,11,859,612488,597290,xml,True,True,2026-06-23
2001,26,12,1248,849720,829942,xml,True,True,2026-06-23
2001,26,13,801,565222,549418,xml,True,True,2026-06-23
2001,26,14,519,335972,320766,xml,True,True,2026-06-23
2001,26,15,344,212034,196620,xml,True,True,2026-06-23
2001,26,16,500,329793,315344,xml,True,True,2026-06-23
2001,26,17,821,550805,534930,xml,True,True,2026-06-23
2001,26,18,214,122562,108004,xml,True,True,2026-06-23
2001,26,19,211,111465,101066,xml,True,True,2026-06-23
2001,27,1,1134,697486,678388,xml,True,True,2026-06-23
2001,27,2,354,199875,186717,xml,True,True,2026-06-23
2001,28,1,862,487402,475035,xml,True,True,2026-06-23
2001,28,2,709,406755,392843,xml,True,True,2026-06-23
2001,29,1,599,378141,367685,xml,True,True,2026-06-23
2001,29,2,270,144696,134084,xml,True,True,2026-06-23
2001,29,3,894,560093,548497,xml,True,True,2026-06-23
2001,29,4,454,267055,255395,xml,True,True,2026-06-23
2001,29,5,984,581010,565385,xml,True,True,2026-06-23
2001,29,6,579,322162,310303,xml,True,True,2026-06-23
2001,29,7,377,200260,188397,xml,True,True,2026-06-23
2001,29,8,667,361208,347172,xml,True,True,2026-06-23
2001,29,9,977,588091,571923,xml,True,True,2026-06-23
2001,30,1,737,388046,369979,xml,True,True,2026-06-23
2001,30,2,643,368993,349604,xml,True,True,2026-06-23
2001,30,3,760,445856,427772,xml,True,True,2026-06-23
2001,31,1,437,252342,240246,xml,True,True,2026-06-23
2001,31,2,1084,635082,619059,xml,True,True,2026-06-23
2001,32,1,973,538842,528057,xml,True,True,2026-06-23
2001,32,2,1166,706543,691490,xml,True,True,2026-06-23
2001,32,3,654,373900,364043,xml,True,True,2026-06-23
2001,32,4,475,268055,258749,xml,True,True,2026-06-23
2001,32,5,582,339749,328788,xml,True,True,2026-06-23
2001,32,6,615,334882,324381,xml,True,True,2026-06-23
2001,33,1,655,356876,336586,xml,True,True,2026-06-23
2001,33,2,881,453352,431333,xml,True,True,2026-06-23
2001,33,3,682,406170,394167,xml,True,True,2026-06-23
2001,34,1,601,332741,309642,xml,True,True,2026-06-23
2001,34,2,560,274361,251456,xml,True,True,2026-06-23
2001,34,3,1059,593372,557789,xml,True,True,2026-06-23
2001,36,1,470,270756,260235,xml,True,True,2026-06-23
2001,36,2,461,267619,256136,xml,True,True,2026-06-23
2001,36,3,876,414823,399819,xml,True,True,2026-06-23
2001,37,1,697,398970,381491,xml,True,True,2026-06-23
2001,38,1,769,452809,432274,xml,True,True,2026-06-23
2001,38,2,976,543921,523125,xml,True,True,2026-06-23
2001,39,1,517,289856,275299,xml,True,True,2026-06-23
2001,40,1,797,461676,450065,xml,True,True,2026-06-23
2001,40,2,529,287533,276133,xml,True,True,2026-06-23
2001,40,3,704,387218,365342,xml,True,True,2026-06-23
2001,40,4,896,467694,444853,xml,True,True,2026-06-23
2001,40,5,386,212276,201107,xml,True,True,2026-06-23
2001,40,6,764,435113,419133,xml,True,True,2026-06-23
2001,40,7,723,338255,327340,xml,True,True,2026-06-23
2001,40,8,483,251843,237689,xml,True,True,2026-06-23
2001,40,9,748,434963,421040,xml,True,True,2026-06-23
2001,40,10,606,348617,337112,xml,True,True,2026-06-23
2001,40,11,1009,569301,557483,xml,True,True,2026-06-23
2001,40,12,346,197013,186093,xml,True,True,2026-06-23
2001,40,13,980,560974,544174,xml,True,True,2026-06-23
2001,40,14,695,298488,284621,xml,True,True,2026-06-23
2001,40,15,730,395656,380993,xml,True,True,2026-06-23
2001,40,16,689,361681,347669,xml,True,True,2026-06-23
2001,40,17,810,444585,431093,xml,True,True,2026-06-23
2001,40,18,532,301988,289312,xml,True,True,2026-06-23
2001,40,19,908,505109,482121,xml,True,True,2026-06-23
2001,40,20,733,359486,349913,xml,True,True,2026-06-23
2001,40,21,482,264616,252890,xml,True,True,2026-06-23
2001,40,22,680,406288,390133,xml,True,True,2026-06-23
2001,40,23,655,332857,315189,xml,True,True,2026-06-23
2001,40,24,562,280916,269455,xml,True,True,2026-06-23
2001,40,25,714,329198,316752,xml,True,True,2026-06-23
2001,40,26,994,470163,456900,xml,True,True,2026-06-23
2001,40,27,876,481282,453343,xml,True,True,2026-06-23
2001,40,28,621,352339,330743,xml,True,True,2026-06-23
2001,41,1,288,152243,140956,xml,True,True,2026-06-23
2001,41,2,632,297249,283396,xml,True,True,2026-06-23
2001,41,3,464,229644,219106,xml,True,True,2026-06-23
2001,41,4,318,143004,128642,xml,True,True,2026-06-23
2001,42,1,711,395809,379117,xml,True,True,2026-06-23
2001,42,2,1043,612235,582283,xml,True,True,2026-06-23
2001,42,3,1304,606614,578243,xml,True,True,2026-06-23
2001,43,1,689,403033,390442,xml,True,True,2026-06-23
2001,43,2,1046,612134,589078,xml,True,True,2026-06-23
2001,44,1,635,373521,360449,xml,True,True,2026-06-23
2001,45,1,781,476403,463887,xml,True,True,2026-06-23
2001,45,2,419,236486,222487,xml,True,True,2026-06-23
2001,45,3,680,384267,372704,xml,True,True,2026-06-23
2001,45,4,885,502210,489448,xml,True,True,2026-06-23
2001,46,1,590,297192,279141,xml,True,True,2026-06-23
2001,46,2,486,248730,230740,xml,True,True,2026-06-23
2001,46,3,176,73800,62097,xml,True,True,2026-06-23
2001,46,4,568,283603,262260,xml,True,True,2026-06-23
2001,46,5,321,149737,136311,xml,True,True,2026-06-23
2001,46,6,433,229745,215076,xml,True,True,2026-06-23
2001,46,7,578,282558,267873,xml,True,True,2026-06-23
2001,46,8,495,290901,279613,xml,True,True,2026-06-23
2001,46,9,312,171778,158362,xml,True,True,2026-06-23
2001,47,1,839,439914,419359,xml,True,True,2026-06-23
2001,47,2,602,337808,315015,xml,True,True,2026-06-23
2001,47,3,474,265223,241097,xml,True,True,2026-06-23
2001,47,4,874,482677,453719,xml,True,True,2026-06-23
2001,47,5,876,472828,439997,xml,True,True,2026-06-23
2001,48,1,1150,596690,562193,xml,True,True,2026-06-23
2001,48,2,636,311518,294495,xml,True,True,2026-06-23
2001,48,3,762,415398,385053,xml,True,True,2026-06-23
2001,48,4,426,199459,181066,xml,True,True,2026-06-23
2001,48,5,722,390904,369407,xml,True,True,2026-06-23
2001,48,6,780,380907,354546,xml,True,True,2026-06-23
2001,48,7,535,222952,212177,xml,True,True,2026-06-23
2001,49,1,770,412429,399543,xml,True,True,2026-06-23
2001,49,2,1180,630588,590216,xml,True,True,2026-06-23
2001,49,3,251,130171,115336,xml,True,True,2026-06-23
2001,49,4,1190,681995,662904,xml,True,True,2026-06-23
2001,49,5,1284,603533,583415,xml,True,True,2026-06-23
2001,49,6,350,188374,171879,xml,True,True,2026-06-23
2001,49,7,287,140344,129835,xml,True,True,2026-06-23
2001,50,1,1435,747183,729027,xml,True,True,2026-06-23
2001,50,2,503,240144,223972,xml,True,True,2026-06-23
2001,50,3,952,552702,510843,xml,True,True,2026-06-23
2002,1,1,114,41335,29285,xml,True,True,2026-06-23
2002,3,1,1012,178812,178656,xml,True,True,2026-06-23
2002,4,1,127,59088,49226,xml,True,True,2026-06-23
2002,5,1,811,451296,430860,xml,True,True,2026-06-23
